Географические координаты,Глубина землетрясений,Магнитуда,Тип грунта,Геологические структуры,История землетрясений,Активные сейсмические зоны,Распределение активностей,Глубина пластов,Тектонические движения,Сейсмогенные процессы,Интервал времени,Погодные условия,Сейсмографические данные,Эпицентры,Подготовленность,Геодинамические процессы
"53.470494625686555, -73.81406630582303",3.8651249318464234,3.8,Песок,Равнина,Высокая,Нет,Равномерное,9,Вертикальные,Волнообразные,87,Пасмурно,Не доступны,Не установлены,Средняя,Пассивные
"39.70014159991007, -70.03283678401456",26.598315577907556,1.2,Скала,Равнина,Высокая,Да,Равномерное,9,Сдвиговые,Тектонические,88,Солнечно,Не доступны,Установлены,Средняя,Активные
"85.65658766116682, 42.20167791260255",55.49990758559683,5.8,Скала,Плато,Средняя,Нет,Неравномерное,3,Горизонтальные,Вулканические,51,Пасмурно,Не доступны,Не установлены,Низкая,Пассивные
"29.67799321633523, 111.85340985266299",72.80112053882937,7.3,Скала,Плато,Низкая,Да,Равномерное,9,Сдвиговые,Тектонические,88,Дождь,Доступны,Установлены,Низкая,Пассивные
"83.99783368384242, 122.29295638453488",73.06976955513326,1.3,Глина,Ложе реки,Низкая,Да,Равномерное,9,Вертикальные,Волнообразные,39,Солнечно,Не доступны,Не установлены,Низкая,Активные
"69.77204991701731, 9.350686977779674",66.53987343952791,5.2,Скала,Равнина,Высокая,Нет,Неравномерное,6,Вертикальные,Вулканические,8,Снег,Доступны,Не установлены,Низкая,Активные
"13.530825802582065, -49.98722430386297",43.013591456876824,6.7,Скала,Равнина,Высокая,Да,Равномерное,3,Горизонтальные,Вулканические,79,Солнечно,Не доступны,Установлены,Высокая,Активные
"69.11184507574605, -52.8297552915444",98.81000641672627,6.0,Скала,Равнина,Низкая,Нет,Неравномерное,5,Горизонтальные,Тектонические,68,Снег,Доступны,Не установлены,Низкая,Активные
"28.918293794374527, 61.950691147732414",13.861181971606563,4.6,Гравий,Равнина,Средняя,Нет,Равномерное,2,Горизонтальные,Волнообразные,76,Снег,Не доступны,Установлены,Средняя,Пассивные
"3.346414986393227, -49.33340169604776",12.861323525724607,3.4,Песок,Гора,Высокая,Да,Равномерное,8,Горизонтальные,Вулканические,74,Снег,Не доступны,Не установлены,Средняя,Активные
"0.1352977468965133, 34.23846039937925",91.42923620490282,1.9,Глина,Ложе реки,Высокая,Нет,Неравномерное,6,Вертикальные,Тектонические,6,Снег,Не доступны,Установлены,Средняя,Пассивные
"23.905092619574972, -31.954694262526942",30.79467746024664,3.4,Скала,Гора,Низкая,Нет,Неравномерное,5,Горизонтальные,Тектонические,2,Дождь,Доступны,Не установлены,Высокая,Активные
"53.48049849324126, -23.575210118889856",79.09795203320154,2.7,Гравий,Гора,Низкая,Нет,Равномерное,1,Сдвиговые,Волнообразные,22,Снег,Доступны,Не установлены,Высокая,Активные
"86.77808662980557, -142.91749126803018",2.872690614836846,3.6,Песок,Гора,Средняя,Да,Равномерное,10,Сдвиговые,Тектонические,86,Снег,Не доступны,Не установлены,Средняя,Активные
"63.674405827047764, -171.7763433027272",7.6020427024832005,5.1,Скала,Гора,Высокая,Нет,Неравномерное,7,Горизонтальные,Вулканические,41,Солнечно,Не доступны,Не установлены,Средняя,Активные
"17.9549278562191, 120.2801208508929",20.339112459643964,3.4,Скала,Плато,Высокая,Нет,Неравномерное,8,Горизонтальные,Волнообразные,57,Солнечно,Доступны,Установлены,Высокая,Пассивные
"42.252338256314324, -5.023208961002581",56.80968610734307,5.9,Глина,Плато,Высокая,Да,Равномерное,8,Сдвиговые,Вулканические,91,Дождь,Не доступны,Установлены,Высокая,Активные
"71.957334093642, 20.907177038401244",14.199934880412814,7.2,Скала,Плато,Средняя,Да,Равномерное,7,Вертикальные,Волнообразные,89,Солнечно,Доступны,Установлены,Низкая,Активные
"36.64938543753903, 86.72872599746182",90.69252546803199,2.4,Песок,Плато,Высокая,Да,Неравномерное,1,Сдвиговые,Вулканические,89,Дождь,Не доступны,Не установлены,Низкая,Активные
"79.50370727283067, 44.46935598714148",11.999851801597005,6.7,Глина,Плато,Низкая,Нет,Равномерное,2,Вертикальные,Волнообразные,11,Снег,Не доступны,Не установлены,Высокая,Активные
"35.212827110791984, 109.04572143965026",55.41123114349564,3.8,Песок,Равнина,Средняя,Да,Неравномерное,9,Горизонтальные,Тектонические,31,Солнечно,Доступны,Не установлены,Средняя,Активные
